salary_range,time_horizon,risk_appetite,industry,career
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
3–6 LPA,Short-term,Stable,Public Sector,Clerk
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
18+ LPA,Long-term,High-growth,Technology,Data Scientist
6–12 LPA,Medium-term,Moderate,Public Sector,Postal Officer
18+ LPA,Medium-term,Moderate,Consulting,Practice Lead
18+ LPA,Long-term,High-growth,Technology,Machine Learning Lead
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
18+ LPA,Long-term,High-growth,Public Sector,IAS Officer
12–18 LPA,Long-term,High-growth,Finance,Data Scientist
18+ LPA,Long-term,High-growth,Consulting,Business Analyst
18+ LPA,Long-term,High-growth,Technology,AI Engineer
6–12 LPA,Short-term,Stable,Public Sector,Government Clerk
18+ LPA,Long-term,High-growth,Technology,AI Engineer
18+ LPA,Long-term,Stable,Consulting,Client Partner
18+ LPA,Long-term,Stable,Healthcare,Hospital Administrator
3–6 LPA,Short-term,Stable,Healthcare,Pharmacy Technician
18+ LPA,Long-term,Stable,Finance,VP Finance
18+ LPA,Medium-term,Moderate,Finance,Business Analyst
3–6 LPA,Short-term,Stable,Public Sector,Peon
18+ LPA,Long-term,Moderate,Healthcare,Data Scientist
18+ LPA,Long-term,Stable,Technology,Engineering Manager
6–12 LPA,Short-term,Stable,Healthcare,Nurse
3–6 LPA,Long-term,Stable,Healthcare,Healthcare Worker
18+ LPA,Medium-term,Moderate,Healthcare,Pharmaceutical Lead
12–18 LPA,Medium-term,Moderate,Technology,Cybersecurity Analyst
6–12 LPA,Medium-term,Moderate,Healthcare,Dietitian
6–12 LPA,Medium-term,Moderate,Consulting,Sales Consultant
6–12 LPA,Medium-term,Moderate,Technology,Technical Writer
18+ LPA,Long-term,Stable,Public Sector,DRDO Scientist
3–6 LPA,Short-term,Stable,Finance,Bank Clerk
12–18 LPA,Long-term,Stable,Technology,System Administrator
6–12 LPA,Long-term,Stable,Public Sector,College Lecturer
18+ LPA,Medium-term,Moderate,Technology,Solutions Architect
18+ LPA,Long-term,Stable,Healthcare,Hospital Administrator
18+ LPA,Long-term,Stable,Finance,CFO
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
6–12 LPA,Short-term,Stable,Public Sector,Railway Officer
18+ LPA,Long-term,Moderate,Healthcare,Product Manager
12–18 LPA,Medium-term,Moderate,Finance,Credit Analyst
18+ LPA,Long-term,Stable,Healthcare,Hospital Administrator
6–12 LPA,Medium-term,Moderate,Finance,Wealth Advisor
3–6 LPA,Short-term,Stable,Consulting,Associate Analyst
3–6 LPA,Long-term,Stable,Public Sector,Primary Teacher
12–18 LPA,Long-term,Stable,Consulting,Change Management Consultant
12–18 LPA,Long-term,Stable,Healthcare,General Practitioner
18+ LPA,Long-term,High-growth,Healthcare,Surgeon
6–12 LPA,Medium-term,Moderate,Finance,Tax Consultant
12–18 LPA,Medium-term,Moderate,Healthcare,Pharmacist
6–12 LPA,Medium-term,Moderate,Consulting,Sales Consultant
6–12 LPA,Medium-term,Moderate,Consulting,Sales Consultant
18+ LPA,Medium-term,Moderate,Consulting,Practice Lead
18+ LPA,Short-term,High-growth,Technology,Tech Entrepreneur
12–18 LPA,Medium-term,Moderate,Consulting,Operations Consultant
12–18 LPA,Long-term,Stable,Public Sector,State Civil Services
6–12 LPA,Short-term,Stable,Finance,Bank PO
12–18 LPA,Medium-term,Moderate,Public Sector,Foreign Service Officer
18+ LPA,Long-term,High-growth,Healthcare,Healthcare AI Lead
18+ LPA,Long-term,Stable,Finance,Risk Director
18+ LPA,Long-term,High-growth,Finance,Investment Banker
6–12 LPA,Medium-term,Moderate,Healthcare,Occupational Therapist
18+ LPA,Long-term,High-growth,Technology,AI Engineer
18+ LPA,Long-term,High-growth,Technology,Cloud Architect
6–12 LPA,Medium-term,Moderate,Public Sector,Police Sub-Inspector
18+ LPA,Long-term,High-growth,Technology,AI Engineer
18+ LPA,Long-term,High-growth,Consulting,Partner
6–12 LPA,Short-term,Stable,Consulting,Junior Consultant
18+ LPA,Long-term,Stable,Public Sector,Senior Bureaucrat
12–18 LPA,Long-term,High-growth,Technology,Business Analyst
12–18 LPA,Medium-term,Moderate,Finance,Credit Analyst
12–18 LPA,Short-term,High-growth,Technology,IoT Specialist
12–18 LPA,Short-term,High-growth,Technology,Blockchain Developer
6–12 LPA,Short-term,Stable,Consulting,Research Analyst
18+ LPA,Long-term,High-growth,Public Sector,IPS Officer
18+ LPA,Medium-term,Moderate,Finance,Private Equity Associate
6–12 LPA,Medium-term,Moderate,Finance,Tax Consultant
12–18 LPA,Long-term,High-growth,Consulting,Product Manager
6–12 LPA,Short-term,Stable,Consulting,Junior Consultant
6–12 LPA,Medium-term,Moderate,Finance,Tax Consultant
3–6 LPA,Short-term,Stable,Healthcare,Pharmacy Technician
18+ LPA,Medium-term,Moderate,Public Sector,Public Sector Executive
18+ LPA,Medium-term,Moderate,Technology,Solutions Architect
3–6 LPA,Long-term,Stable,Public Sector,Primary Teacher
18+ LPA,Long-term,High-growth,Finance,Investment Banker
12–18 LPA,Medium-term,Moderate,Consulting,Operations Consultant
3–6 LPA,Short-term,Stable,Healthcare,Medical Assistant
18+ LPA,Long-term,Stable,Technology,Technical Architect
18+ LPA,Medium-term,Moderate,Healthcare,Data Scientist
18+ LPA,Long-term,Stable,Technology,Technical Architect
